uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1720688852","11 Jul 2024, 09:07","The Cure","69ee3720-a7cb-4402-b48d-a02c366f2bcf","Faith","0b4ab1bb-c382-349e-af18-592e702c6bc6","Primary","58900088-3e21-41d5-a2f6-44f3c34e056b"
"1720688656","11 Jul 2024, 09:04","Go‐Go’s","","Beauty and the Beat","","This Town",""
"1720688506","11 Jul 2024, 09:01","Ricky Skaggs & Tony Rice","","Skaggs & Rice","","Tennessee Blues","19fad19e-4379-35d8-9009-ccda93d7b1b3"
"1720688242","11 Jul 2024, 08:57","Michael Jackson","f27ec8db-af05-4f36-916e-3d57f91ecf5e","Off the Wall","013d3033-ba85-4bfb-84be-f117db777452","Get on the Floor","022dcd5e-324f-490e-a048-42c81992c54a"
"1720687999","11 Jul 2024, 08:53","Bee Gees","bf0f7e29-dfe1-416c-b5c6-f9ebc19ea810","Greatest","1626f081-3a2c-414a-836b-198ef4b6d12a","You Should Be Dancing",""
"1720687841","11 Jul 2024, 08:50","Olivia Vedder, Eddie Vedder & Glen Hansard","","Flag Day (Original Soundtrack)","","My Father's Daughter",""
"1720687673","11 Jul 2024, 08:47","Pink Floyd","83d91898-7763-47d7-b03b-b92132375c47","The Wall","02a26364-1e0c-434b-bbba-c5d28fa91a4a","Young Lust","31df8774-2fbe-4fda-8af7-15291c37dbb2"
"1720687370","11 Jul 2024, 08:42","Ocean Colour Scene","601d793d-7e96-4bb6-b4a6-712d5c926259","Moseley Shoals","1850d9fd-efed-4d97-a9c1-3175baecce81","The Riverboat Song",""
"1720686989","11 Jul 2024, 08:36","James Gang","4167b497-1ae5-4502-a8e6-e1546ffbe514","Licorice Pizza: Original Motion Picture Soundtrack","4ac61f5e-5926-4f14-a159-9780370cc59c","Walk Away","1ef01059-5680-46e3-9f2d-fb17f1cc6e93"
"1720686730","11 Jul 2024, 08:32","Chris Norman & Suzi Quatro","","Licorice Pizza: Original Motion Picture Soundtrack","4ac61f5e-5926-4f14-a159-9780370cc59c","Stumblin’ In",""
"1720686299","11 Jul 2024, 08:24","ERAAS","96510573-f854-48a0-8715-599fb85bf604","","","Old Magic","509fe489-5137-4479-b22a-ebf748e41456"
"1720686295","11 Jul 2024, 08:24","Skywatchers","","The Skywatchers Handbook","b98102ff-e150-429b-a4fa-ee381eea3130","Small Lights","5c472198-a247-3786-b1dc-f4810086aa72"
